ticker,cik,bolsa,sector,variables_descargadas,motivo_exclusion
AS,1988894,NYSE,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
TIGO,912958,Nasdaq,Radiotelephone Communications,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
JHX,1159152,NYSE,"Concrete Products, Except Block & Brick",0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
QGEN,1015820,NYSE,"Biological Products, (No Diagnostic Substances)",0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
DOX,1062579,Nasdaq,Services-Computer Programming Services,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
BIRK,1977102,NYSE,"Footwear, (No Rubber)",0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
SGHC,1878057,NYSE,Services-Miscellaneous Amusement & Recreation,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
GLNG,1207179,Nasdaq,Water Transportation,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
STNE,1745431,Nasdaq,Services-Computer Processing & Data Preparation,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
STNG,1483934,NYSE,Deep Sea Foreign Transportation of  Freight,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
TTAM,2035304,NYSE,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
PAGS,1712807,NYSE,Services-Computer Processing & Data Preparation,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
DHT,1331284,NYSE,Deep Sea Foreign Transportation of  Freight,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
AMBP,1845097,NYSE,Metal Cans,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
TNK,1419945,NYSE,Water Transportation,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
ZGN,1877787,NYSE,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,0,Sin datos US GAAP en SEC EDGAR (ADR o empresa extranjera)
