cik,nombre,sic,sic_descripcion,ticker,bolsa
2023554,Sandisk Corp,3572.0,Computer Storage Devices,SNDK,Nasdaq
1633978,Lumentum Holdings Inc.,3669.0,"Communications Equipment, NEC",LITE,Nasdaq
1736297,"Astera Labs, Inc.",3674.0,Semiconductors & Related Devices,ALAB,Nasdaq
1474432,"Everpure, Inc.",3572.0,Computer Storage Devices,PSTG,NYSE
1807794,Credo Technology Group Holding Ltd,3674.0,Semiconductors & Related Devices,CRDO,Nasdaq
1493594,"MACOM Technology Solutions Holdings, Inc.",3674.0,Semiconductors & Related Devices,MTSI,Nasdaq
1048695,"F5, INC.",3576.0,Computer Communications Equipment,FFIV,Nasdaq
1528396,"Guidewire Software, Inc.",7372.0,Services-Prepackaged Software,GWRE,NYSE
16058,CACI INTERNATIONAL INC /DE/,7373.0,Services-Computer Integrated Systems Design,CACI,NYSE
849399,Gen Digital Inc.,7372.0,Services-Prepackaged Software,GEN,Nasdaq
855658,LATTICE SEMICONDUCTOR CORP,3674.0,Semiconductors & Related Devices,LSCC,Nasdaq
1177394,TD SYNNEX CORP,5045.0,Wholesale-Computers & Peripheral Equipment & Software,SNX,NYSE
1824920,"IonQ, Inc.",7373.0,Services-Computer Integrated Systems Design,IONQ,NYSE
779152,JACK HENRY & ASSOCIATES INC,7373.0,Services-Computer Integrated Systems Design,JKHY,Nasdaq
1773383,"Dynatrace, Inc.",7372.0,Services-Prepackaged Software,DT,NYSE
927003,ADVANCED ENERGY INDUSTRIES INC,3679.0,"Electronic Components, NEC",AEIS,Nasdaq
1031308,BENTLEY SYSTEMS INC,7372.0,Services-Prepackaged Software,BSY,Nasdaq
1047127,"AMKOR TECHNOLOGY, INC.",3674.0,Semiconductors & Related Devices,AMKR,Nasdaq
1618732,"Nutanix, Inc.",7372.0,Services-Prepackaged Software,NTNX,Nasdaq
1326380,GameStop Corp.,5734.0,Retail-Computer & Computer Software Stores,GME,NYSE
1943896,"Rubrik, Inc.",7372.0,Services-Prepackaged Software,RBRK,NYSE
917273,RAMBUS INC,3674.0,Semiconductors & Related Devices,RMBS,Nasdaq
1836833,Planet Labs PBC,3663.0,Radio & Tv Broadcasting & Communications Equipment,PL,NYSE
1611052,"PROCORE TECHNOLOGIES, INC.",7372.0,Services-Prepackaged Software,PCOR,NYSE
1451809,SITIME Corp,3674.0,Semiconductors & Related Devices,SITM,Nasdaq
1717115,"Tempus AI, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",TEM,Nasdaq
751978,VICOR CORP,3679.0,"Electronic Components, NEC",VICR,Nasdaq
1810806,Unity Software Inc.,7372.0,Services-Prepackaged Software,U,NYSE
1056696,MANHATTAN ASSOCIATES INC,7372.0,Services-Prepackaged Software,MANH,Nasdaq
2030781,"SailPoint, Inc.",7372.0,Services-Prepackaged Software,SAIL,Nasdaq
1828108,"Aurora Innovation, Inc.",7373.0,Services-Computer Integrated Systems Design,AUR,Nasdaq
4127,"SKYWORKS SOLUTIONS, INC.",3674.0,Semiconductors & Related Devices,SWKS,Nasdaq
1013237,FACTSET RESEARCH SYSTEMS INC,7370.0,"Services-Computer Programming, Data Processing, Etc.",FDS,NYSE
1144879,Applied Digital Corp.,7374.0,Services-Computer Processing & Data Preparation,APLD,Nasdaq
1352010,"EPAM Systems, Inc.",7371.0,Services-Computer Programming Services,EPAM,NYSE
1039399,FORMFACTOR INC,3674.0,Semiconductors & Related Devices,FORM,Nasdaq
891103,"Match Group, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",MTCH,Nasdaq
88941,SEMTECH CORP,3674.0,Semiconductors & Related Devices,SMTC,Nasdaq
7536,"ARROW ELECTRONICS, INC.",5065.0,"Wholesale-Electronic Parts & Equipment, NEC",ARW,NYSE
1604778,"Qorvo, Inc.",3674.0,Semiconductors & Related Devices,QRVO,Nasdaq
1013857,PEGASYSTEMS INC,7374.0,Services-Computer Processing & Data Preparation,PEGA,Nasdaq
1062579,AMDOCS LTD,7371.0,Services-Computer Programming Services,DOX,Nasdaq
1582961,"DigitalOcean Holdings, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",DOCN,NYSE
912093,VIAVI SOLUTIONS INC.,3674.0,Semiconductors & Related Devices,VIAV,Nasdaq
1866368,"Clearwater Analytics Holdings, Inc.",7372.0,Services-Prepackaged Software,CWAN,NYSE
866706,ESCO TECHNOLOGIES INC,3669.0,"Communications Equipment, NEC",ESE,NYSE
772406,"CIRRUS LOGIC, INC.",3674.0,Semiconductors & Related Devices,CRUS,Nasdaq
1038074,SILICON LABORATORIES INC.,3674.0,Semiconductors & Related Devices,SLAB,Nasdaq
1158114,"APPLIED OPTOELECTRONICS, INC.",3674.0,Semiconductors & Related Devices,AAOI,Nasdaq
1856314,"Clear Secure, Inc.",7372.0,Services-Prepackaged Software,YOU,NYSE
1907982,D-Wave Quantum Inc.,7374.0,Services-Computer Processing & Data Preparation,QBTS,NYSE
1734722,"UiPath, Inc.",7372.0,Services-Prepackaged Software,PATH,NYSE
1467623,"DROPBOX, INC.",7372.0,Services-Prepackaged Software,DBX,Nasdaq
1433195,APPFOLIO INC,7372.0,Services-Prepackaged Software,APPF,Nasdaq
1591698,Paylocity Holding Corp,7372.0,Services-Prepackaged Software,PCTY,Nasdaq
866291,"ALLEGRO MICROSYSTEMS, INC.",3674.0,Semiconductors & Related Devices,ALGM,Nasdaq
1463101,"Enphase Energy, Inc.",3674.0,Semiconductors & Related Devices,ENPH,Nasdaq
1707753,Elastic N.V.,7372.0,Services-Prepackaged Software,ESTC,NYSE
275880,PARSONS CORP,7373.0,Services-Computer Integrated Systems Design,PSN,NYSE
1838359,"Rigetti Computing, Inc.",7371.0,Services-Computer Programming Services,RGTI,Nasdaq
1897762,Ingram Micro Holding Corp,5045.0,Wholesale-Computers & Peripheral Equipment & Software,INGM,NYSE
