ticker,sector,bolsa,end,acciones_circulacion,activos_corrientes,activos_intangibles,activos_totales,amortizacion_intang,caja,cambio_capital_trab,cambio_cxc,cambio_inventario,capex,costo_ventas,cuentas_por_cobrar,cuentas_por_pagar,depreciacion,deuda_largo_plazo,ebitda_proxy,emision_acciones,fcf_financiero,fcf_inversor,fcf_operativo,gastos_id,gastos_operativos,gastos_sga,goodwill,impuestos_pagados,ingresos,ingresos_diferidos,inventario,otras_inversiones,pasivos_corrientes,patrimonio,ppe_neto,recompra_acciones,retained_earnings,stock_based_comp,utilidad_bruta,utilidad_neta,utilidad_operativa,fcf_promedio_futuro,Y,ano,burn_rate,runway,capital_trabajo,margen_bruto,margen_operativo,margen_neto,ratio_id,ratio_deuda,ratio_corriente,rotacion_activos,intensidad_capex
AEIS,"Electronic Components, NEC",Nasdaq,2010-09-30,,,,,,101566000.0,1065000.0,61991000.0,42908000.0,1310000.0,72262000.0,,,-1368000.0,,,,4663000.0,-22205000.0,-25792000.0,8434500.0,-7653500.0,16230000.0,,,,,,,,,,,,,72678000.0,81218500.0,80331500.0,8812000.0,1.0,2010,25792000.0,3.9378877,,,,,,,,,
AEIS,"Electronic Components, NEC",Nasdaq,2011-06-30,,,,,-50500.0,135564000.0,-7079000.0,-55080000.0,-19355000.0,-10275000.0,-9527004.0,,,-3923000.0,,,,-148000.0,7605000.0,-4840000.0,-3234000.0,-10102500.0,-6818000.0,46515000.0,,,,,,,,,0.0,,519000.0,9658997.0,-3842666.8,3707666.8,23113500.0,1.0,2011,4840000.0,28.00909,,,,,,,,,
AEIS,"Electronic Components, NEC",Nasdaq,2013-03-31,39238.0,389418000.0,43714000.0,551529000.0,2213000.0,169728000.0,-167000.0,13782000.0,-1429000.0,1417000.0,69975000.0,96738000.0,42521000.0,5286000.0,,,,11633000.0,11675000.0,-44000.0,14253000.0,34120000.0,17654000.0,59885000.0,4430000.0,,,79522000.0,,82379000.0,404802000.0,37139000.0,0.0,152174000.0,2034000.0,41839000.0,6826000.0,7719000.0,-17552666.0,0.0,2013,44000.0,437.01508,307038980.0,,,,,,4.727151,,
AEIS,"Electronic Components, NEC",Nasdaq,2013-06-30,39700.0,373876000.0,33971000.0,614854000.0,233500.0,88857660.0,5228000.0,89178000.0,3186000.0,-6408000.0,-20652992.0,132608000.0,66402000.0,-7194000.0,,,,72626000.0,-42952000.0,-120789000.0,-6171500.0,11705000.0,-2826500.0,144658000.0,2883000.0,,,102182000.0,,137266000.0,401502000.0,40773000.0,-57117000.0,142394000.0,-2163000.0,11290000.0,-14367000.0,-18123666.0,15583833.0,1.0,2013,120789000.0,0.7356437,236610000.0,,,,,,2.7237334,,
AEIS,"Electronic Components, NEC",Nasdaq,2015-06-30,41013000.0,389859000.0,38518000.0,512056000.0,-253750.0,166595500.0,5567000.0,-14142500.0,-13412500.0,-1810000.0,17618756.0,91432000.0,49451000.0,-3348000.0,,,,36817000.0,42889000.0,-22580000.0,-441500.0,91703010.0,8955750.0,43538000.0,7273000.0,,,78056000.0,,154163000.0,260452000.0,12250000.0,-25000000.0,15213000.0,-811000.0,8245833.5,-241027840.0,-62146164.0,6313834.0,1.0,2015,22580000.0,7.3780117,235696000.0,,,,,,2.528875,,
AEIS,"Electronic Components, NEC",Nasdaq,2016-06-30,39676000.0,386843000.0,31408000.0,504954000.0,-581000.0,209273000.0,-1824000.0,28662000.0,-83000.0,-1149000.0,-17459496.0,66162000.0,36951000.0,-4787000.0,,,,47413000.0,16576000.0,-61464000.0,-3127000.0,-8470500.0,-4663500.0,43342000.0,8611000.0,,,57227000.0,,98668000.0,321812000.0,11167000.0,,120722000.0,2370166.8,7576000.0,90786664.0,2650666.8,30779124.0,1.0,2016,61464000.0,3.404806,288175000.0,,,,,,3.920653,,
AEIS,"Electronic Components, NEC",Nasdaq,2017-06-30,39943000.0,537148000.0,27399000.0,673095000.0,-628500.0,358937000.0,655000.0,-37648000.0,12234000.0,-3413000.0,-1287492.0,60791000.0,49430000.0,-3594000.0,,,,-4016000.0,-24225000.0,-19070000.0,-1361000.0,-5989500.0,-4000000.0,44006000.0,4369000.0,,,75557000.0,,104430000.0,485388000.0,14537000.0,0.0,278951000.0,2878000.0,29035664.0,16079000.0,19904000.0,53307664.0,1.0,2017,19070000.0,18.822077,432718000.0,,,,,,5.143618,,
AEIS,"Electronic Components, NEC",Nasdaq,2018-06-30,39240000.0,670813000.0,32672000.0,835058000.0,-282500.0,432999000.0,-2769000.0,1319000.0,12359000.0,384000.0,-16532508.0,,58028000.0,-3507000.0,,,,-9328000.0,9497000.0,-97246990.0,-986000.0,-8817504.0,-7549000.0,54256000.0,14898000.0,,,109834000.0,-7709000.0,132329000.0,595010000.0,24148000.0,8066000.0,445771000.0,-2084500.0,16989670.0,15900336.0,7795666.5,-6403584.0,0.0,2018,97246992.0,4.4525695,538484000.0,,,,,,5.0692816,,
AEIS,"Electronic Components, NEC",Nasdaq,2019-06-30,38305000.0,563022000.0,68243000.0,865768000.0,-26500.0,359070000.0,3877000.0,-3109000.0,-12306000.0,-11464000.0,-68456990.0,,37281000.0,-5196000.0,,,,96092000.0,103668000.0,-134855000.0,-5519500.0,-16931500.0,-11897500.0,91637000.0,6592000.0,,10397000.0,92740000.0,,96497000.0,655518000.0,34692000.0,,559839000.0,-2315000.0,-55820800.0,-20975996.0,-52899796.0,22201250.0,1.0,2019,134855008.0,2.6626377,466525020.0,,,,,,5.8346066,,
AEIS,"Electronic Components, NEC",Nasdaq,2021-06-30,38381000.0,1103986000.0,170914000.0,1776232000.0,-1859500.0,507176000.0,3502000.0,24437000.0,84869000.0,-22206000.0,-103641990.0,,206723000.0,-22026000.0,313545000.0,-19818004.0,,3373000.0,9951000.0,-113547000.0,-11777496.0,-42309508.0,-22819500.0,214211000.0,12770000.0,,9702000.0,296739000.0,3921000.0,377396000.0,875941000.0,115160000.0,-5127000.0,778646000.0,158500.0,-67150000.0,-12594504.0,-24840504.0,1255916.0,1.0,2021,113547000.0,4.4666615,726590100.0,,,,,0.17652255,2.9252722,,
AEIS,"Electronic Components, NEC",Nasdaq,2022-06-30,37392000.0,1087516000.0,201778000.0,1878074000.0,-1752500.0,372685000.0,2492000.0,33061000.0,-63628000.0,-3341000.0,-56453490.0,,197870000.0,-24016000.0,383001000.0,3565996.0,,-17468000.0,-123953010.0,-92648990.0,-11099504.0,-31097996.0,-16318000.0,280885000.0,22665000.0,,8804000.0,395866000.0,65159000.0,389021000.0,924228000.0,126793000.0,-54547000.0,807843000.0,-847500.0,-31845000.0,-4009000.0,-746996.0,18065668.0,1.0,2022,92648992.0,4.0225477,698495040.0,,,,,0.20393285,2.79552,,
AEIS,"Electronic Components, NEC",Nasdaq,2023-06-30,37650000.0,1153203000.0,175493000.0,1949907000.0,-2451000.0,455252000.0,-22532000.0,-105674000.0,-14556000.0,-25262000.0,-181565520.0,,149259000.0,-27330000.0,363516000.0,-68876500.0,,42889000.0,171521000.0,-131173010.0,-18292000.0,-46414004.0,-25939504.0,282692000.0,,,,392349000.0,,303430000.0,1125279000.0,159025000.0,,965739000.0,1413000.0,-113117490.0,-57229504.0,-66703500.0,2631624.0,1.0,2023,131173008.0,3.4706225,849772900.0,,,,,0.18642735,3.8005567,,
AEIS,"Electronic Components, NEC",Nasdaq,2024-06-30,37671000.0,1677839000.0,151763000.0,2541859000.0,-3876750.0,986148000.0,3500.0,4896000.0,88577500.0,-29599500.0,-187163490.0,262419000.0,157523000.0,-32607500.0,907309000.0,-38737250.0,,-468870980.0,17141000.0,-194920000.0,-23958252.0,-68501500.0,-27921000.0,297329000.0,,,,383141000.0,16601000.0,306837000.0,1164987900.0,180624000.0,,1002175000.0,1386000.0,-112071760.0,-14502500.0,-43570250.0,22243752.0,1.0,2024,194920000.0,5.0592446,1371002000.0,,,,,0.356947,5.468177,,
ALAB,Semiconductors & Related Devices,Nasdaq,2022-12-31,,,,,,,,6037000.0,19358000.0,3873000.0,21191000.0,,,,,-57581000.0,,151668000.0,-90590000.0,-35898000.0,73711000.0,118875000.0,,,,,,,,,-85292000.0,,313000.0,,,58681000.0,-58345000.0,-60194000.0,1451375.0,1.0,2022,35898000.0,,,,,,,,,,
