ticker,sector,prob_breakeven,end,fcf_operativo,burn_rate,retained_earnings,razones_favor,razones_contra
TECH,"Biological Products, (No Diagnostic Substances)",0.7809278059485824,2025-12-31,-38239010.0,38239010.0,1106819000.0,"recompra_acciones (+0.208), retained_earnings (+0.120), capex (+0.108)","gastos_sga (-0.062), utilidad_neta_lag4 (-0.044), gastos_operativos (-0.019)"
CBRL,Retail-Eating  Places,0.7636386609724688,2026-01-30,-95862000.0,95862000.0,416384000.0,"capex (+0.197), ppe_neto (+0.152), retained_earnings (+0.140)","recompra_acciones (-0.038), fcf_operativo_lag2 (-0.026), utilidad_neta (-0.021)"
TRAK,Services-Computer Processing & Data Preparation,0.758688248709392,2025-12-31,-1551958.0,1551958.0,-10263473.0,"utilidad_operativa (+0.434), utilidad_neta (+0.133), cuentas_por_pagar (+0.064)","retained_earnings (-0.078), pasivos_corrientes (-0.068), ppe_neto (-0.066)"
ELMD,Electromedical & Electrotherapeutic Apparatus,0.7499250801569198,2025-12-31,-2265000.0,2265000.0,22283000.0,"utilidad_operativa (+0.202), retained_earnings (+0.191), recompra_acciones (+0.143)","pasivos_corrientes (-0.109), ppe_neto (-0.050), goodwill (-0.030)"
MCFT,Ship & Boat Building & Repairing,0.7489499113240945,2025-12-28,-26841000.0,26841000.0,136826000.0,"retained_earnings (+0.164), capex (+0.122), recompra_acciones (+0.102)","ppe_neto (-0.077), burn_rate_cambio_pct (-0.043), activos_intangibles (-0.023)"
MTN,Services-Miscellaneous Amusement & Recreation,0.736379684265305,2026-01-31,-33316032.0,33316032.0,583001000.0,"retained_earnings (+0.147), ppe_neto (+0.131), ingresos_diferidos (+0.082)","utilidad_neta_lag2 (-0.067), caja (-0.043), caja_lag4 (-0.043)"
ETD,"Wood Household Furniture, (No Upholstered)",0.7200763679535387,2025-12-31,-11694000.0,11694000.0,780736000.0,"capex (+0.141), retained_earnings (+0.099), ppe_neto (+0.094)","gastos_sga (-0.052), recompra_acciones (-0.048), fcf_operativo_lag2 (-0.022)"
EHC,Services-Hospitals,0.7170963309937393,2025-12-31,-28900000.0,28900000.0,-1921200000.0,"ppe_neto (+0.109), utilidad_operativa (+0.106), pasivos_corrientes (+0.104)","capex (-0.103), retained_earnings (-0.045), stock_based_comp (-0.033)"
KMT,"Machine Tools, Metal Cutting Types",0.7149893708020301,2025-12-31,-28294000.0,28294000.0,1228574000.0,"recompra_acciones (+0.277), retained_earnings (+0.112), ppe_neto (+0.093)","cambio_inventario (-0.095), gastos_sga (-0.047), capex (-0.042)"
SNDA,Services-Nursing & Personal Care Facilities,0.7143515165440828,2025-12-31,-400000.0,400000.0,-461227000.0,"utilidad_operativa (+0.165), recompra_acciones (+0.146), ppe_neto (+0.118)","retained_earnings (-0.109), capex (-0.097), utilidad_neta (-0.027)"
MBUU,Ship & Boat Building & Repairing,0.7121698177334352,2025-12-31,-823000.0,823000.0,481500000.0,"capex (+0.174), retained_earnings (+0.141), ppe_neto (+0.098)","recompra_acciones (-0.023), utilidad_neta_lag4 (-0.019), utilidad_operativa (-0.017)"
STKL,Beverages,0.7114654325358023,2026-01-03,-368000.0,368000.0,-346511000.0,"capex (+0.124), ppe_neto (+0.101), gastos_sga (+0.092)","retained_earnings (-0.073), fcf_inversor (-0.030), recompra_acciones (-0.026)"
SKIL,Services-Prepackaged Software,0.7044620429241046,2025-10-31,-18859000.0,18859000.0,-1546502000.0,"cuentas_por_cobrar (+0.179), pasivos_corrientes (+0.166), recompra_acciones (+0.164)","gastos_id (-0.096), patrimonio (-0.056), capex (-0.043)"
FUN,Services-Amusement & Recreation Services,0.6999774755234054,2025-12-31,-37671010.0,37671010.0,-1670985000.0,"ppe_neto (+0.201), pasivos_corrientes (+0.149), ingresos_diferidos (+0.132)","retained_earnings (-0.066), gastos_sga (-0.061), recompra_acciones (-0.053)"
EML,"Cutlery, Handtools & General Hardware",0.6988809024012477,2026-01-03,-10520667.0,10520667.0,137492220.0,"retained_earnings (+0.184), capex (+0.108), cambio_inventario (+0.071)","ppe_neto (-0.052), burn_rate_cambio_pct (-0.026), utilidad_operativa (-0.020)"
DCI,Industrial & Commercial Fans & Blowers & Air Purifing Equip,0.6920107775872038,2026-01-31,-4900000.0,4900000.0,2747200000.0,"capex (+0.125), retained_earnings (+0.100), utilidad_operativa (+0.067)","gastos_id (-0.062), gastos_sga (-0.054), runway (-0.040)"
ODC,Miscellaneous Manufacturing Industries,0.6916824022531427,2026-01-31,-3895000.0,3895000.0,300343000.0,"capex (+0.140), retained_earnings (+0.124), utilidad_operativa (+0.085)","fcf_inversor (-0.031), gastos_sga (-0.025), utilidad_neta_lag4 (-0.022)"
EXTR,Computer Communications Equipment,0.6693711491183509,2025-12-31,-3978000.0,3978000.0,-935942000.0,"pasivos_corrientes (+0.113), utilidad_operativa (+0.101), cuentas_por_cobrar (+0.085)","capex (-0.065), gastos_id (-0.053), ppe_neto (-0.045)"
LNN,Farm Machinery & Equipment,0.6659380895634668,2025-11-30,-597000.0,597000.0,758003000.0,"retained_earnings (+0.095), utilidad_operativa (+0.091), pasivos_corrientes (+0.052)","capex (-0.089), fcf_inversor (-0.027), utilidad_neta_lag4 (-0.018)"
RCMT,Services-Help Supply Services,0.6637661576088081,2025-09-27,-1262000.0,1262000.0,4292000.0,"utilidad_neta (+0.103), utilidad_operativa (+0.099), retained_earnings (+0.078)","capex (-0.081), ppe_neto (-0.058), recompra_acciones (-0.048)"
M,Retail-Department Stores,0.6632761676414993,2025-11-01,-8000000.0,8000000.0,6226000000.0,"ingresos_diferidos (+0.242), retained_earnings (+0.126), ppe_neto (+0.086)","capex (-0.087), inventario (-0.054), impuestos_pagados (-0.044)"
INTA,Services-Prepackaged Software,0.6627406796596124,2025-12-31,-13009000.0,13009000.0,-675751000.0,"pasivos_corrientes (+0.158), cuentas_por_cobrar (+0.120), utilidad_bruta (+0.091)","capex (-0.057), ppe_neto (-0.045), gastos_id (-0.039)"
FLR,Heavy Construction Other Than Bldg Const - Contractors,0.6616488707565882,2025-12-31,-366000000.0,366000000.0,4642000000.0,"ingresos_diferidos (+0.302), retained_earnings (+0.159), ppe_neto (+0.092)","capex (-0.131), fcf_operativo (-0.028), utilidad_neta (-0.024)"
CMP,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),0.659783835050983,2025-12-31,-37000000.0,37000000.0,-59000000.0,"ppe_neto (+0.166), utilidad_operativa (+0.148), cambio_inventario (+0.090)","retained_earnings (-0.089), recompra_acciones (-0.042), gastos_sga (-0.033)"
