ticker,sector,prob_breakeven,end,fcf_operativo,burn_rate,capex,razones_favor,razones_contra
TRAK,Services-Computer Processing & Data Preparation,0.8400657930781624,2025-12-31,-1551958.0,1551958.0,11749.0,"utilidad_operativa (+0.630), depreciacion (+0.133), cuentas_por_pagar (+0.068)","cuentas_por_cobrar (-0.059), capex (-0.045), caja (-0.025)"
SHLS,Semiconductors & Related Devices,0.7543471408704326,2025-12-31,-4087000.0,4087000.0,7164000.0,"cuentas_por_cobrar (+0.172), utilidad_operativa (+0.147), caja (+0.096)","caja_cambio_pct (-0.078), cambio_inventario (-0.071), capex (-0.065)"
SKYT,Semiconductors & Related Devices,0.754277725864511,2025-12-28,-36073000.0,36073000.0,6098000.0,"cuentas_por_cobrar (+0.187), pasivos_corrientes (+0.113), ratio_corriente (+0.089)","capex (-0.109), ingresos_diferidos (-0.050), recompra_acciones (-0.041)"
EXTR,Computer Communications Equipment,0.7320652906878644,2025-12-31,-3978000.0,3978000.0,4348500.0,"ratio_corriente (+0.150), cuentas_por_cobrar (+0.146), utilidad_operativa (+0.104)","capex (-0.104), gastos_id (-0.074), cuentas_por_pagar (-0.049)"
TRIP,"Services-Computer Programming, Data Processing, Etc.",0.7246588449829682,2025-12-31,-103000000.0,103000000.0,15000000.0,"cuentas_por_cobrar (+0.193), pasivos_corrientes (+0.080), margen_neto (+0.071)","capex (-0.173), recompra_acciones (-0.042), deuda_largo_plazo (-0.039)"
INTA,Services-Prepackaged Software,0.6942796394177955,2025-12-31,-13009000.0,13009000.0,806000.0,"ratio_corriente (+0.185), pasivos_corrientes (+0.132), cuentas_por_cobrar (+0.127)","capex (-0.094), gastos_id (-0.084), ratio_deuda (-0.059)"
SKIL,Services-Prepackaged Software,0.6770423964748842,2025-10-31,-18859000.0,18859000.0,467000.0,"cuentas_por_cobrar (+0.201), recompra_acciones (+0.147), ratio_corriente (+0.143)","ingresos_diferidos (-0.126), gastos_id (-0.089), acciones_circulacion (-0.076)"
RAMP,Services-Computer Processing & Data Preparation,0.6723876420823136,2025-12-31,-4681000.0,4681000.0,162000.0,"cuentas_por_cobrar (+0.133), utilidad_operativa (+0.094), utilidad_neta (+0.071)","capex (-0.108), gastos_id (-0.056), fcf_operativo (-0.029)"
MRCY,Electronic Components & Accessories,0.6668688929848494,2025-12-26,-17009000.0,17009000.0,2659000.0,"cuentas_por_cobrar (+0.164), pasivos_corrientes (+0.102), depreciacion (+0.079)","capex (-0.070), cuentas_por_pagar (-0.045), recompra_acciones (-0.041)"
DDD,Services-Prepackaged Software,0.6560334060772091,2025-12-31,-14697000.0,14697000.0,1949000.0,"cuentas_por_cobrar (+0.183), pasivos_corrientes (+0.121), caja_lag4 (+0.060)","capex (-0.093), gastos_id (-0.079), utilidad_operativa (-0.058)"
SABR,"Services-Computer Programming, Data Processing, Etc.",0.6391231807189686,2025-12-31,-80603000.0,80603000.0,23468000.0,"utilidad_operativa (+0.111), cuentas_por_cobrar (+0.078), pasivos_corrientes (+0.075)","capex (-0.244), cuentas_por_pagar (-0.126), ingresos_diferidos (-0.117)"
TEM,"Services-Computer Programming, Data Processing, Etc.",0.6207003963000911,2025-12-31,-36788000.0,36788000.0,4755000.0,"cuentas_por_cobrar (+0.192), pasivos_corrientes (+0.130), stock_based_comp (+0.121)","caja_cambio_pct (-0.154), capex (-0.134), gastos_id (-0.102)"
KLIC,Semiconductors & Related Devices,0.6037849240748607,2026-01-03,-8933000.0,8933000.0,2676000.0,"utilidad_operativa (+0.156), goodwill (+0.080), rotacion_activos (+0.067)","gastos_id (-0.092), capex (-0.090), cambio_inventario (-0.085)"
CSPI,Services-Computer Integrated Systems Design,0.6003315679120853,2025-12-31,-2916000.0,2916000.0,105000.0,"utilidad_operativa (+0.095), rotacion_activos (+0.076), retained_earnings (+0.074)","capex (-0.104), cuentas_por_cobrar (-0.096), caja (-0.032)"
