ticker,sector,end,Y,ano_test,prob_breakeven_oof
AAOI,Semiconductors & Related Devices,2018-03-31,0.0,2018,0.8008909796107583
AAOI,Semiconductors & Related Devices,2018-06-30,0.0,2018,0.85650059010246
AAOI,Semiconductors & Related Devices,2018-12-31,0.0,2018,0.7771544317515329
ACIW,Services-Prepackaged Software,2018-06-30,1.0,2018,0.932793561391316
AEIS,"Electronic Components, NEC",2018-06-30,0.0,2018,0.9179440636538927
AEYE,Services-Prepackaged Software,2018-03-31,0.0,2018,0.05103436935505879
AEYE,Services-Prepackaged Software,2018-06-30,0.0,2018,0.08720764473132761
AEYE,Services-Prepackaged Software,2018-09-30,0.0,2018,0.12854063564473844
AEYE,Services-Prepackaged Software,2018-12-31,0.0,2018,0.18924244616059083
AGYS,Services-Computer Integrated Systems Design,2018-06-30,0.0,2018,0.5551850740499683
AGYS,Services-Computer Integrated Systems Design,2018-09-30,1.0,2018,0.6253764201784364
AIOT,"Communications Equipment, NEC",2018-09-30,0.0,2018,0.603803603168705
AIOT,"Communications Equipment, NEC",2018-12-31,0.0,2018,0.5434963865309481
ALRM,Services-Prepackaged Software,2018-06-30,1.0,2018,0.8248531059676647
AMBA,Semiconductors & Related Devices,2018-07-31,1.0,2018,0.8624854663513023
AMKR,Semiconductors & Related Devices,2018-06-30,1.0,2018,0.8777414318270933
AOSL,Semiconductors & Related Devices,2018-03-31,1.0,2018,0.7499375078951929
AOSL,Semiconductors & Related Devices,2018-06-30,1.0,2018,0.8275802740160254
APPF,Services-Prepackaged Software,2018-06-30,1.0,2018,0.7844203840356483
APPN,Services-Prepackaged Software,2018-03-31,0.0,2018,0.5700986890498101
APPN,Services-Prepackaged Software,2018-06-30,1.0,2018,0.6241920308512314
APPN,Services-Prepackaged Software,2018-09-30,1.0,2018,0.4407939116679368
APPN,Services-Prepackaged Software,2018-12-31,1.0,2018,0.6643496027209344
ASUR,Services-Computer Integrated Systems Design,2018-03-31,0.0,2018,0.7629657275646846
ASUR,Services-Computer Integrated Systems Design,2018-06-30,1.0,2018,0.5886246574186379
ASUR,Services-Computer Integrated Systems Design,2018-09-30,1.0,2018,0.7774825231391671
ASUR,Services-Computer Integrated Systems Design,2018-12-31,1.0,2018,0.8294172800168128
ATEN,Computer Communications Equipment,2018-03-31,0.0,2018,0.6504356266424487
ATEN,Computer Communications Equipment,2018-06-30,0.0,2018,0.7381513414524619
ATEN,Computer Communications Equipment,2018-09-30,0.0,2018,0.6321347568366575
ATOM,Semiconductors & Related Devices,2018-03-31,0.0,2018,0.10675409293631813
ATOM,Semiconductors & Related Devices,2018-06-30,0.0,2018,0.1549275461386357
ATOM,Semiconductors & Related Devices,2018-09-30,0.0,2018,0.12199864126630167
ATOM,Semiconductors & Related Devices,2018-12-31,0.0,2018,0.1369633729789785
AVNW,Radio & Tv Broadcasting & Communications Equipment,2018-03-30,0.0,2018,0.4838279063609134
AVNW,Radio & Tv Broadcasting & Communications Equipment,2018-09-28,1.0,2018,0.4699792777884212
